Unnamed: 0,andriusp,boris,desiveri,henrikek,idarhan,juanms,larsfrog,matsc,mikolajs,oysteinhf,petrako,piyali,souvikb,thoreem,tiago,vh,viggoh
2020-05-02 15:00:04.678844,0.0,147561.26,1821768.32,0.0,0.0,0.0,1255441.35,2855134.44,24984.46,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303055.27
2020-05-02 20:00:08.405033,0.0,147561.26,1834518.22,0.0,0.0,0.0,1331153.64,2855134.44,24984.46,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303055.27
2020-05-03 00:00:05.446007,0.0,147561.26,1834518.22,0.0,0.0,0.0,1331153.64,2855134.44,24984.46,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303056.03
2020-05-03 05:00:06.162971,0.0,147561.26,1834518.22,0.0,0.0,0.0,1331153.64,2903830.19,24998.12,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303056.03
2020-05-03 10:00:04.669240,0.0,199939.83,1834518.22,0.0,0.0,0.0,1331153.64,2903830.19,24998.12,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303056.03
2020-05-03 15:00:04.830718,0.0,214124.55,1834518.22,0.0,0.0,0.0,1331153.64,2977153.14,24998.12,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303056.03
2020-05-03 20:00:05.283405,0.0,230699.04,1834518.22,0.0,0.0,0.0,1331153.64,2977153.14,24998.12,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303056.03
2020-05-04 00:00:03.495195,0.0,244152.32,1834518.22,0.0,0.0,0.0,1331153.64,2977153.14,24998.12,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303056.03
2020-05-04 05:00:05.030293,0.0,244152.32,1834518.22,0.0,0.0,0.0,1331153.64,3025880.75,24998.12,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303056.03
2020-05-04 10:00:03.850664,0.0,280090.84,1834518.22,0.0,0.0,0.0,1331153.64,3025880.75,24998.12,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303056.03
2020-05-04 15:00:04.475214,0.0,291806.19,1834518.22,0.0,0.0,0.0,1332415.43,3074575.36,25009.49,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303056.03
